Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Atlanta, GA metro area	December 2013	$160K	4.2%	25.6%	6,630	11.0%	5.5%	6,692	-21.7%	9.0%	32,481	-8.3%	10.0%	53	4	-9	97.0%	-0.1%	-0.7%
Atlanta, GA metro area	January 2014	$153K	-4.4%	30.8%	4,905	-26.0%	-5.5%	9,483	41.7%	-0.1%	32,169	-1.0%	9.2%	57	4	-7	97.0%	0.0%	-0.4%
Atlanta, GA metro area	February 2014	$155K	1.3%	22.0%	5,418	10.5%	-4.2%	9,695	2.2%	2.4%	32,853	2.1%	13.2%	62	5	-1	97.0%	0.0%	-1.1%
Atlanta, GA metro area	March 2014	$167K	7.5%	17.5%	6,607	21.9%	-5.9%	13,311	37.3%	15.1%	34,411	4.7%	13.8%	53	-9	1	97.1%	0.1%	-1.1%
Atlanta, GA metro area	April 2014	$170K	2.0%	13.3%	7,524	13.9%	5.0%	13,536	1.7%	14.3%	35,458	3.0%	13.9%	41	-12	-1	97.3%	0.2%	-1.0%
Atlanta, GA metro area	May 2014	$183K	7.4%	14.1%	8,463	12.5%	-0.5%	13,727	1.4%	12.8%	36,636	3.3%	13.2%	37	-4	-2	97.3%	0.1%	-0.9%
Atlanta, GA metro area	June 2014	$188K	3.0%	12.0%	8,544	1.0%	6.8%	13,674	-0.4%	14.3%	39,456	7.7%	15.9%	36	-1	-4	97.3%	-0.1%	-1.0%
Atlanta, GA metro area	July 2014	$188K	0.0%	10.6%	8,718	2.0%	5.3%	13,298	-2.7%	11.6%	41,683	5.6%	19.1%	34	-2	-5	97.3%	0.0%	-0.9%
Atlanta, GA metro area	August 2014	$181K	-3.7%	8.6%	8,045	-7.7%	0.9%	11,738	-11.7%	4.7%	41,746	0.2%	18.3%	39	5	-1	96.9%	-0.3%	-1.1%
Atlanta, GA metro area	September 2014	$175K	-3.4%	10.0%	7,324	-9.0%	7.9%	10,907	-7.1%	5.4%	41,365	-0.9%	15.2%	47	8	5	96.8%	-0.1%	-1.0%
Atlanta, GA metro area	October 2014	$174K	-0.6%	11.8%	7,481	2.1%	8.6%	10,990	0.8%	1.2%	40,498	-2.1%	12.5%	51	4	6	96.8%	-0.1%	-0.7%
Atlanta, GA metro area	November 2014	$175K	0.6%	14.0%	5,966	-20.3%	-0.1%	8,415	-23.4%	-1.5%	39,443	-2.6%	11.3%	55	4	6	96.7%	-0.1%	-0.4%
Atlanta, GA metro area	December 2014	$179K	2.2%	11.8%	7,300	22.4%	10.1%	6,915	-17.8%	3.3%	38,197	-3.2%	17.6%	56	1	3	96.7%	0.0%	-0.3%
Atlanta, GA metro area	January 2015	$168K	-6.1%	9.8%	5,032	-31.1%	2.6%	10,602	53.3%	11.8%	38,089	-0.3%	18.4%	86	30	29	96.4%	-0.3%	-0.6%
Atlanta, GA metro area	February 2015	$176K	4.7%	13.5%	5,956	18.4%	9.9%	10,440	-1.5%	7.7%	38,276	0.5%	16.5%	88	2	26	96.7%	0.3%	-0.3%
Atlanta, GA metro area	March 2015	$184K	4.6%	10.4%	8,191	37.5%	24.0%	13,198	26.4%	-0.8%	37,597	-1.8%	9.3%	73	-15	20	96.9%	0.2%	-0.2%
Atlanta, GA metro area	April 2015	$189K	2.7%	11.2%	8,798	7.4%	16.9%	14,435	9.4%	6.6%	38,122	1.4%	7.5%	62	-11	21	97.2%	0.3%	-0.1%
Atlanta, GA metro area	May 2015	$201K	6.3%	10.1%	9,276	5.4%	9.6%	14,129	-2.1%	2.9%	41,355	8.5%	12.9%	44	-18	7	97.5%	0.3%	0.1%
Atlanta, GA metro area	June 2015	$200K	-0.4%	6.5%	10,165	9.6%	19.0%	14,235	0.8%	4.1%	42,297	2.3%	7.2%	51	7	15	97.4%	0.0%	0.2%
Atlanta, GA metro area	July 2015	$200K	-0.1%	6.4%	10,109	-0.6%	16.0%	13,995	-1.7%	5.2%	43,111	1.9%	3.4%	52	1	18	97.4%	-0.1%	0.1%
Atlanta, GA metro area	August 2015	$190K	-5.0%	5.0%	8,968	-11.3%	11.5%	11,954	-14.6%	1.8%	42,595	-1.2%	2.0%	55	3	16	97.1%	-0.3%	0.1%
Atlanta, GA metro area	September 2015	$190K	0.0%	8.6%	8,232	-8.2%	12.4%	10,738	-10.2%	-1.5%	41,575	-2.4%	0.5%	58	3	11	97.0%	0.0%	0.2%
Atlanta, GA metro area	October 2015	$186K	-2.1%	7.0%	7,676	-6.8%	2.6%	10,539	-1.9%	-4.1%	40,361	-2.9%	-0.3%	63	5	12	96.8%	-0.2%	0.1%
Atlanta, GA metro area	November 2015	$190K	2.2%	8.6%	6,297	-18.0%	5.5%	8,072	-23.4%	-4.1%	38,368	-4.9%	-2.7%	65	2	10	97.0%	0.1%	0.3%
Atlanta, GA metro area	December 2015	$191K	0.8%	7.0%	8,207	30.3%	12.4%	6,636	-17.8%	-4.0%	34,052	-11.2%	-10.9%	72	7	16	96.9%	-0.1%	0.2%
Atlanta, GA metro area	January 2016	$183K	-4.7%	8.6%	5,543	-32.5%	10.2%	9,766	47.2%	-7.9%	33,853	-0.6%	-11.1%	74	2	-12	96.8%	-0.1%	0.3%
Atlanta, GA metro area	February 2016	$190K	4.1%	8.0%	6,624	19.5%	11.2%	11,184	14.5%	7.1%	34,107	0.8%	-10.9%	76	2	-12	97.0%	0.3%	0.3%
Atlanta, GA metro area	March 2016	$196K	2.9%	6.3%	8,959	35.3%	9.4%	14,701	31.4%	11.4%	35,804	5.0%	-4.8%	63	-13	-10	97.4%	0.4%	0.5%
Atlanta, GA metro area	April 2016	$207K	5.6%	9.3%	9,330	4.1%	6.0%	14,736	0.2%	2.1%	37,530	4.8%	-1.6%	49	-14	-13	97.7%	0.3%	0.4%
Atlanta, GA metro area	May 2016	$212K	2.7%	5.5%	10,436	11.9%	12.5%	14,314	-2.9%	1.3%	38,901	3.7%	-5.9%	45	-4	1	97.9%	0.2%	0.4%
Atlanta, GA metro area	June 2016	$215K	1.2%	7.2%	10,957	5.0%	7.8%	15,055	5.2%	5.8%	39,931	2.6%	-5.6%	44	-1	-7	97.8%	0.0%	0.4%
Atlanta, GA metro area	July 2016	$215K	0.2%	7.5%	9,945	-9.2%	-1.6%	12,691	-15.7%	-9.3%	40,152	0.6%	-6.9%	46	2	-6	97.9%	0.1%	0.6%
Atlanta, GA metro area	August 2016	$206K	-4.2%	8.3%	10,140	2.0%	13.1%	12,370	-2.5%	3.5%	39,117	-2.6%	-8.2%	48	2	-7	97.7%	-0.2%	0.6%
Atlanta, GA metro area	September 2016	$204K	-1.0%	7.2%	9,077	-10.5%	10.3%	11,733	-5.1%	9.3%	38,589	-1.3%	-7.2%	53	5	-5	97.5%	-0.2%	0.5%
Atlanta, GA metro area	October 2016	$200K	-1.8%	7.5%	8,185	-9.8%	6.6%	10,836	-7.6%	2.8%	37,598	-2.6%	-6.8%	55	2	-8	97.5%	-0.1%	0.6%
Atlanta, GA metro area	November 2016	$204K	2.0%	7.4%	7,790	-4.8%	23.7%	8,664	-20.0%	7.3%	35,700	-5.0%	-7.0%	55	0	-10	97.4%	-0.1%	0.4%
Atlanta, GA metro area	December 2016	$209K	2.7%	9.4%	8,480	8.9%	3.3%	6,716	-22.5%	1.2%	31,690	-11.2%	-6.9%	63	8	-9	97.3%	-0.1%	0.4%
Atlanta, GA metro area	January 2017	$198K	-5.5%	8.5%	5,854	-31.0%	5.6%	9,971	48.5%	2.1%	31,246	-1.4%	-7.7%	67	4	-7	97.2%	-0.1%	0.4%
Atlanta, GA metro area	February 2017	$204K	3.0%	7.4%	6,609	12.9%	-0.2%	11,096	11.3%	-0.8%	31,456	0.7%	-7.8%	66	-1	-10	97.4%	0.3%	0.4%
Atlanta, GA metro area	March 2017	$216K	6.0%	10.6%	10,120	53.1%	13.0%	15,393	38.7%	4.7%	33,154	5.4%	-7.4%	53	-13	-10	97.8%	0.3%	0.4%
Atlanta, GA metro area	April 2017	$220K	1.8%	6.5%	9,004	-11.0%	-3.5%	13,441	-12.7%	-8.8%	34,241	3.3%	-8.8%	42	-11	-7	98.0%	0.3%	0.4%
Atlanta, GA metro area	May 2017	$223K	1.5%	5.3%	10,960	21.7%	5.0%	14,872	10.6%	3.9%	35,591	3.9%	-8.5%	38	-4	-7	98.1%	0.1%	0.2%
Atlanta, GA metro area	June 2017	$228K	2.2%	6.3%	11,460	4.6%	4.6%	14,616	-1.7%	-2.9%	36,535	2.7%	-8.5%	39	1	-5	98.1%	0.0%	0.3%
Atlanta, GA metro area	July 2017	$225K	-1.4%	4.7%	9,940	-13.3%	-0.1%	13,217	-9.6%	4.1%	36,925	1.1%	-8.0%	40	1	-6	98.1%	0.0%	0.2%
Atlanta, GA metro area	August 2017	$220K	-2.3%	6.8%	10,302	3.6%	1.6%	12,855	-2.7%	3.9%	36,249	-1.8%	-7.3%	41	1	-7	97.7%	-0.4%	0.0%
Atlanta, GA metro area	September 2017	$216K	-1.8%	5.9%	8,998	-12.7%	-0.9%	10,289	-20.0%	-12.3%	34,267	-5.5%	-11.2%	48	7	-5	97.8%	0.0%	0.3%
Atlanta, GA metro area	October 2017	$217K	0.5%	8.5%	8,549	-5.0%	4.4%	10,893	5.9%	0.5%	32,011	-6.6%	-14.9%	45	-3	-10	97.6%	-0.2%	0.2%
Atlanta, GA metro area	November 2017	$215K	-0.9%	5.4%	8,160	-4.6%	4.7%	9,109	-16.4%	5.1%	29,782	-7.0%	-16.6%	42	-3	-13	97.7%	0.1%	0.4%
Atlanta, GA metro area	December 2017	$225K	4.6%	7.3%	8,694	6.5%	2.5%	6,653	-27.0%	-0.9%	26,552	-10.8%	-16.2%	46	4	-17	97.7%	0.0%	0.5%
Atlanta, GA metro area	January 2018	$215K	-4.4%	8.6%	6,092	-29.9%	4.1%	9,576	43.9%	-4.0%	25,143	-5.3%	-19.5%	50	4	-17	97.6%	-0.1%	0.4%
Atlanta, GA metro area	February 2018	$220K	2.3%	7.8%	7,153	17.4%	8.2%	11,100	15.9%	0.0%	25,451	1.2%	-19.1%	48	-2	-18	97.8%	0.2%	0.4%
Atlanta, GA metro area	March 2018	$232K	5.5%	7.4%	9,718	35.9%	-4.0%	14,082	26.9%	-8.5%	26,251	3.1%	-20.8%	32	-16	-21	98.1%	0.3%	0.3%
Atlanta, GA metro area	April 2018	$238K	2.5%	8.2%	9,670	-0.5%	7.4%	13,980	-0.7%	4.0%	27,215	3.7%	-20.5%	24	-8	-18	98.6%	0.5%	0.5%
Atlanta, GA metro area	May 2018	$245K	2.9%	9.7%	11,109	14.9%	1.4%	14,633	4.7%	-1.6%	28,676	5.4%	-19.4%	22	-2	-16	98.6%	0.0%	0.5%
Atlanta, GA metro area	June 2018	$248K	1.3%	8.7%	10,918	-1.7%	-4.7%	14,585	-0.3%	-0.2%	30,730	7.2%	-15.9%	22	0	-17	98.5%	0.0%	0.4%
Atlanta, GA metro area	July 2018	$242K	-2.4%	7.6%	10,455	-4.2%	5.2%	13,203	-9.5%	-0.1%	31,509	2.5%	-14.7%	24	2	-16	98.5%	0.0%	0.4%
Atlanta, GA metro area	August 2018	$232K	-4.3%	5.3%	10,011	-4.2%	-2.8%	13,056	-1.1%	1.6%	31,774	0.8%	-12.3%	28	4	-13	98.2%	-0.4%	0.4%
Atlanta, GA metro area	September 2018	$235K	1.6%	8.9%	8,443	-15.7%	-6.2%	11,295	-13.5%	9.8%	32,034	0.8%	-6.5%	32	4	-16	98.1%	-0.1%	0.3%
Atlanta, GA metro area	October 2018	$230K	-2.1%	6.0%	8,602	1.9%	0.6%	11,964	5.9%	9.8%	32,103	0.2%	0.3%	34	2	-11	97.8%	-0.2%	0.2%
Atlanta, GA metro area	November 2018	$230K	0.0%	7.0%	7,817	-9.1%	-4.2%	9,261	-22.6%	1.7%	30,854	-3.9%	3.6%	36	2	-6	97.7%	-0.2%	-0.1%
Atlanta, GA metro area	December 2018	$235K	2.2%	4.5%	7,548	-3.4%	-13.2%	6,700	-27.7%	0.7%	28,432	-7.8%	7.1%	42	6	-4	97.8%	0.1%	0.1%
Atlanta, GA metro area	January 2019	$230K	-2.1%	7.0%	5,539	-26.6%	-9.1%	10,778	60.9%	12.6%	28,237	-0.7%	12.3%	49	7	-1	97.5%	-0.3%	-0.1%
Atlanta, GA metro area	February 2019	$235K	2.2%	6.8%	6,838	23.5%	-4.4%	11,009	2.1%	-0.8%	27,975	-0.9%	9.9%	49	0	1	97.8%	0.3%	0.0%
Atlanta, GA metro area	March 2019	$244K	3.9%	5.2%	9,122	33.4%	-6.1%	13,955	26.8%	-0.9%	28,793	2.9%	9.7%	35	-14	3	97.9%	0.1%	-0.2%
Atlanta, GA metro area	April 2019	$247K	1.0%	3.6%	9,720	6.6%	0.5%	14,607	4.7%	4.5%	29,985	4.1%	10.2%	28	-7	4	98.2%	0.2%	-0.4%
Atlanta, GA metro area	May 2019	$256K	3.8%	4.6%	11,290	16.2%	1.6%	15,596	6.8%	6.6%	31,672	5.6%	10.4%	25	-3	3	98.3%	0.1%	-0.3%
Atlanta, GA metro area	June 2019	$259K	1.0%	4.3%	10,484	-7.1%	-4.0%	13,743	-11.9%	-5.8%	32,362	2.2%	5.3%	26	1	4	98.3%	-0.1%	-0.3%
Atlanta, GA metro area	July 2019	$255K	-1.4%	5.4%	10,854	3.5%	3.8%	13,643	-0.7%	3.3%	32,595	0.7%	3.4%	27	1	3	98.3%	0.0%	-0.2%
Atlanta, GA metro area	August 2019	$250K	-2.0%	7.9%	10,307	-5.0%	3.0%	13,235	-3.0%	1.4%	32,932	1.0%	3.6%	31	4	3	98.1%	-0.2%	-0.1%
Atlanta, GA metro area	September 2019	$250K	0.0%	6.3%	8,867	-14.0%	5.0%	11,859	-10.4%	5.0%	32,949	0.1%	2.9%	34	3	2	98.1%	0.0%	0.0%
Atlanta, GA metro area	October 2019	$245K	-2.0%	6.5%	9,097	2.6%	5.8%	12,166	2.6%	1.7%	32,467	-1.5%	1.1%	35	1	1	97.8%	-0.3%	0.0%
Atlanta, GA metro area	November 2019	$248K	1.2%	7.8%	7,891	-13.3%	0.9%	9,002	-26.0%	-2.8%	30,812	-5.1%	-0.1%	39	4	3	97.9%	0.1%	0.2%
Atlanta, GA metro area	December 2019	$250K	0.9%	6.5%	9,095	15.3%	20.5%	7,223	-19.8%	7.8%	28,013	-9.1%	-1.5%	45	6	3	97.8%	-0.1%	0.0%
Atlanta, GA metro area	January 2020	$243K	-3.0%	5.6%	6,477	-28.8%	16.9%	11,016	52.5%	2.2%	27,607	-1.4%	-2.2%	53	8	4	97.6%	-0.2%	0.1%
Atlanta, GA metro area	February 2020	$250K	3.0%	6.4%	7,577	17.0%	10.8%	10,816	-1.8%	-1.8%	27,046	-2.0%	-3.3%	54	1	5	97.9%	0.3%	0.1%
Atlanta, GA metro area	March 2020	$264K	5.4%	7.9%	9,355	23.5%	2.6%	13,644	26.1%	-2.2%	29,411	8.7%	2.1%	42	-12	7	98.2%	0.3%	0.3%
Atlanta, GA metro area	April 2020	$270K	2.4%	9.5%	7,879	-15.8%	-18.9%	10,437	-23.5%	-28.5%	29,085	-1.1%	-3.0%	30	-12	2	98.5%	0.3%	0.3%
Atlanta, GA metro area	May 2020	$261K	-3.3%	1.9%	7,695	-2.3%	-31.8%	11,971	14.7%	-23.2%	27,599	-5.1%	-12.9%	33	3	8	98.4%	-0.1%	0.1%
Atlanta, GA metro area	June 2020	$270K	3.5%	4.4%	10,845	40.9%	3.4%	12,656	5.7%	-7.9%	25,287	-8.4%	-21.9%	37	4	11	98.5%	0.1%	0.3%
Atlanta, GA metro area	July 2020	$280K	3.7%	9.8%	12,062	11.2%	11.1%	12,961	2.4%	-5.0%	23,747	-6.1%	-27.1%	33	-4	6	98.7%	0.2%	0.4%
Atlanta, GA metro area	August 2020	$282K	0.8%	12.8%	11,222	-7.0%	8.9%	12,368	-4.6%	-6.6%	21,954	-7.6%	-33.3%	29	-4	-2	98.7%	0.0%	0.6%
Atlanta, GA metro area	September 2020	$283K	0.4%	13.2%	10,825	-3.5%	22.1%	11,788	-4.7%	-0.6%	20,873	-4.9%	-36.7%	26	-3	-8	99.0%	0.3%	0.9%
Atlanta, GA metro area	October 2020	$285K	0.7%	16.3%	10,762	-0.6%	18.3%	11,794	0.1%	-3.1%	20,145	-3.5%	-38.0%	23	-3	-12	99.1%	0.1%	1.3%
Atlanta, GA metro area	November 2020	$283K	-0.6%	14.2%	9,408	-12.6%	19.2%	8,785	-25.5%	-2.4%	17,948	-10.9%	-41.7%	23	0	-16	99.0%	-0.1%	1.1%
Atlanta, GA metro area	December 2020	$285K	0.6%	13.9%	10,473	11.3%	15.2%	7,554	-14.0%	4.6%	15,306	-14.7%	-45.4%	25	2	-20	99.2%	0.2%	1.3%
Atlanta, GA metro area	January 2021	$280K	-1.8%	15.3%	7,174	-31.5%	10.8%	9,438	24.9%	-14.3%	14,121	-7.7%	-48.8%	26	1	-27	99.0%	-0.1%	1.5%
Atlanta, GA metro area	February 2021	$288K	2.9%	15.2%	7,844	9.3%	3.5%	9,779	3.6%	-9.6%	13,170	-6.7%	-51.3%	23	-3	-31	99.4%	0.4%	1.5%
Atlanta, GA metro area	March 2021	$303K	5.2%	14.9%	10,718	36.6%	14.6%	12,603	28.9%	-7.6%	13,038	-1.0%	-55.7%	16	-7	-26	100.0%	0.6%	1.8%
Atlanta, GA metro area	April 2021	$314K	3.5%	16.1%	10,577	-1.3%	34.2%	13,020	3.3%	24.7%	13,877	6.4%	-52.3%	13	-3	-17	100.8%	0.7%	2.3%
Atlanta, GA metro area	May 2021	$326K	3.8%	24.7%	10,620	0.4%	38.0%	12,131	-6.8%	1.3%	14,012	1.0%	-49.2%	13	0	-20	101.3%	0.5%	2.8%
Atlanta, GA metro area	June 2021	$340K	4.4%	25.9%	11,800	11.1%	8.8%	13,668	12.7%	8.0%	14,979	6.9%	-40.8%	13	0	-24	101.6%	0.3%	3.1%
Atlanta, GA metro area	July 2021	$336K	-1.2%	20.0%	11,235	-4.8%	-6.9%	13,363	-2.2%	3.1%	16,374	9.3%	-31.0%	12	-1	-21	101.6%	0.0%	2.9%
Atlanta, GA metro area	August 2021	$330K	-1.8%	17.0%	11,005	-2.0%	-1.9%	13,022	-2.6%	5.3%	16,658	1.7%	-24.1%	13	1	-16	101.2%	-0.4%	2.5%
Atlanta, GA metro area	September 2021	$330K	0.0%	16.6%	10,346	-6.0%	-4.4%	11,835	-9.1%	0.4%	16,984	2.0%	-18.6%	15	2	-11	100.9%	-0.3%	1.9%
Atlanta, GA metro area	October 2021	$342K	3.6%	20.0%	9,869	-4.6%	-8.3%	11,565	-2.3%	-1.9%	17,588	3.6%	-12.7%	17	2	-6	100.5%	-0.3%	1.4%
Atlanta, GA metro area	November 2021	$345K	0.9%	21.8%	9,773	-1.0%	3.9%	9,731	-15.9%	10.8%	16,311	-7.3%	-9.1%	19	2	-4	100.7%	0.2%	1.8%
Atlanta, GA metro area	December 2021	$350K	1.4%	22.8%	9,683	-0.9%	-7.5%	7,886	-19.0%	4.4%	14,867	-8.9%	-2.9%	21	2	-4	100.5%	-0.2%	1.4%
Atlanta, GA metro area	January 2022	$345K	-1.4%	23.2%	6,717	-30.6%	-6.4%	9,477	20.2%	0.4%	13,303	-10.5%	-5.8%	23	2	-3	100.3%	-0.3%	1.2%
Atlanta, GA metro area	February 2022	$355K	3.0%	23.4%	7,877	17.3%	0.4%	10,231	8.0%	4.6%	13,293	-0.1%	0.9%	20	-3	-3	101.1%	0.8%	1.7%
Atlanta, GA metro area	March 2022	$370K	4.0%	22.0%	10,158	29.0%	-5.2%	12,774	24.9%	1.4%	14,121	6.2%	8.3%	16	-4	0	101.8%	0.7%	1.8%
Atlanta, GA metro area	April 2022	$385K	4.2%	22.8%	9,517	-6.3%	-10.0%	12,297	-3.7%	-5.6%	15,480	9.6%	11.6%	14	-2	1	102.5%	0.7%	1.8%
Atlanta, GA metro area	May 2022	$400K	3.9%	22.9%	9,913	4.2%	-6.7%	13,639	10.9%	12.4%	17,425	12.6%	24.4%	14	0	1	102.7%	0.1%	1.4%
Atlanta, GA metro area	June 2022	$400K	0.1%	17.8%	10,087	1.8%	-14.5%	15,400	12.9%	12.7%	21,489	23.3%	43.5%	15	1	2	101.7%	-1.0%	0.1%
Atlanta, GA metro area	July 2022	$393K	-1.9%	17.0%	8,611	-14.6%	-23.4%	13,456	-12.6%	0.7%	24,537	14.2%	49.9%	17	2	5	100.4%	-1.3%	-1.1%
Atlanta, GA metro area	August 2022	$385K	-2.0%	16.7%	8,844	2.7%	-19.6%	12,966	-3.6%	-0.4%	25,624	4.4%	53.8%	23	6	10	99.4%	-1.0%	-1.8%
Atlanta, GA metro area	September 2022	$376K	-2.3%	13.9%	8,088	-8.5%	-21.8%	12,250	-5.5%	3.5%	27,235	6.3%	60.4%	29	6	14	98.6%	-0.8%	-2.2%
Atlanta, GA metro area	October 2022	$370K	-1.6%	8.2%	6,934	-14.3%	-29.7%	10,687	-12.8%	-7.6%	27,520	1.0%	56.5%	31	2	14	98.2%	-0.4%	-2.3%
Atlanta, GA metro area	November 2022	$370K	0.0%	7.2%	6,115	-11.8%	-37.4%	8,079	-24.4%	-17.0%	25,995	-5.5%	59.4%	36	5	17	98.0%	-0.2%	-2.7%
Atlanta, GA metro area	December 2022	$365K	-1.3%	4.3%	6,139	0.4%	-36.6%	6,140	-24.0%	-22.1%	22,563	-13.2%	51.8%	42	6	21	97.9%	-0.1%	-2.7%
Atlanta, GA metro area	January 2023	$353K	-3.2%	2.5%	4,426	-27.9%	-34.1%	8,626	40.5%	-9.0%	21,292	-5.6%	60.1%	53	11	30	97.6%	-0.3%	-2.7%
Atlanta, GA metro area	February 2023	$365K	3.3%	2.7%	5,870	32.6%	-25.5%	8,444	-2.1%	-17.5%	19,952	-6.3%	50.1%	53	0	33	98.1%	0.5%	-3.0%
Atlanta, GA metro area	March 2023	$370K	1.4%	0.2%	7,828	33.4%	-22.9%	11,078	31.2%	-13.3%	19,953	0.0%	41.3%	41	-12	25	98.6%	0.5%	-3.3%
Atlanta, GA metro area	April 2023	$381K	2.9%	-1.0%	7,101	-9.3%	-25.4%	9,840	-11.2%	-20.0%	19,674	-1.4%	27.1%	31	-10	17	99.0%	0.5%	-3.5%
Atlanta, GA metro area	May 2023	$390K	2.4%	-2.5%	8,257	16.3%	-16.7%	11,302	14.9%	-17.1%	20,031	1.8%	15.0%	27	-4	13	99.4%	0.3%	-3.3%
